PublicAddress,ControlNbr,CCN,Precinct,ReportedDate,BeginDate,Time,Offense,Description,UCRCode,EnteredDate,GBSID,Lat,Long,X,Y,Neighborhood,LastChanged,LastUpdateDate,OBJECTID,x2,y2
0031XX Colfax AV N,3743048,MP 2018 061576,04,2/26/2018 9:52:00 PM,2/12/2018 3:05:00 PM,15:05:00,TFMV,Theft From Motr Vehc,07,2/26/2018 9:51:42 PM,14208,45.01268473,-93.2916174,-10385175.3447,5623518.6591,HAWTHORNE,2/27/2018 6:13:07 AM,2/27/2018 8:00:34 PM,178,-10385175.3447,5623518.6591
0029XX 18 AV S,3743049,MP 2018 061928,03,2/26/2018 9:57:00 PM,1/24/2018 12:30:00 PM,12:30:00,AUTOTH,Motor Vehicle Theft,08,2/26/2018 9:57:18 PM,21409,44.94921947,-93.24868243,-10380395.845,5613530.6711,EAST PHILLIPS,2/27/2018 5:48:27 AM,2/27/2018 8:00:34 PM,179,-10380395.845,5613530.6711
0044XX Clinton AV S,3743068,MP 2018 061909,03,2/27/2018 12:35:00 AM,2/26/2018 7:33:00 PM,19:33:00,AUTOTH,Motor Vehicle Theft,08,2/27/2018 12:33:44 AM,14328,44.92240007,-93.27149946,-10382935.8253,5609313.2263,REGINA,2/27/2018 5:47:56 AM,2/27/2018 8:00:34 PM,182,-10382935.8253,5609313.2263
0043XX Nicollet AV S,3743072,MP 2018 061846,05,2/27/2018 12:53:00 AM,2/26/2018 5:00:00 PM,17:00:00,TFMV,Theft From Motr Vehc,07,2/27/2018 12:54:06 AM,21359,44.92415856,-93.2779314,-10383651.8252,5609589.696,KING FIELD,2/27/2018 10:25:12 AM,2/27/2018 8:00:34 PM,183,-10383651.8252,5609589.696
0023XX 32 ST E,3743104,MP 2018 062395,03,2/27/2018 9:25:00 AM,2/26/2018 6:00:00 PM,18:00:00,TFMV,Theft From Motr Vehc,07,2/27/2018 9:25:18 AM,17539,44.94475963,-93.23807829,-10379215.3974,5612829.2085,CORCORAN,2/27/2018 5:30:32 PM,2/27/2018 8:00:34 PM,189,-10379215.3974,5612829.2085
0015XX River TE E,3743114,MP 2018 062341,02,2/27/2018 8:18:00 AM,2/26/2018 7:15:00 PM,19:15:00,AUTOTH,Motor Vehicle Theft,08,2/27/2018 10:08:45 AM,17022,44.96293144,-93.21572571,-10376727.1205,5615687.6862,PROSPECT PARK - EAST RIVER ROAD,2/27/2018 12:41:34 PM,2/27/2018 8:00:34 PM,191,-10376727.1205,5615687.6862
0019XX Marshall ST NE,3743132,MP 2018 998960,02,2/27/2018 10:48:42 AM,2/27/2018 6:00:00 AM,06:00:00,TFMV,Theft From Motr Vehc,07,2/27/2018 10:48:42 AM,15276,45.00803595,-93.27169927,-10382958.0679,5622786.6714,BOTTINEAU,2/27/2018 10:48:57 AM,2/27/2018 8:00:34 PM,195,-10382958.0679,5622786.6714
0041XX Nokomis AV S,3743150,MP 2018 998959,03,2/27/2018 11:05:51 AM,2/26/2018 9:00:00 PM,21:00:00,TFMV,Theft From Motr Vehc,07,2/27/2018 11:05:51 AM,11885,44.92778942,-93.22830727,-10378127.6931,5610160.5629,STANDISH,2/27/2018 5:33:57 PM,2/27/2018 8:00:34 PM,196,-10378127.6931,5610160.5629
0006XX 5 ST N,3743201,MP 2018 998956,01,2/27/2018 12:16:10 PM,2/26/2018 5:00:00 PM,17:00:00,TFMV,Theft From Motr Vehc,07,2/27/2018 12:16:10 PM,16909,44.98504707,-93.28019274,-10383903.5564,5619167.7605,NORTH LOOP,2/27/2018 12:16:14 PM,2/27/2018 8:00:34 PM,198,-10383903.5564,5619167.7605
0028XX 31 ST E,3743218,MP 2018 062644,03,2/27/2018 1:40:00 PM,2/25/2018 11:45:00 PM,23:45:00,AUTOTH,Motor Vehicle Theft,08,2/27/2018 1:38:12 PM,11257,44.94684851,-93.23079419,-10378404.5352,5613157.7497,LONGFELLOW,2/27/2018 5:28:29 PM,2/27/2018 8:00:34 PM,200,-10378404.5352,5613157.7497
0028XX University AV SE,3734320,MP 2018 016285,02,1/16/2018 4:50:00 PM,1/16/2018 2:00:00 PM,14:00:00,AUTOTH,Motor Vehicle Theft,08,1/16/2018 4:53:49 PM,21974,44.97139491,-93.21626788,-10376787.4743,5617019.3241,PROSPECT PARK - EAST RIVER ROAD,1/17/2018 7:28:48 AM,1/17/2018 8:00:32 PM,210,-10376787.4743,5617019.3241
0017XX 3 AV S,3734327,MP 2018 016294,05,1/16/2018 5:48:00 PM,1/16/2018 4:00:00 PM,16:00:00,AUTOTH,Motor Vehicle Theft,08,1/16/2018 5:47:44 PM,16606,44.96574682,-93.27275983,-10383076.1296,5616130.635,STEVENS SQUARE - LORING HEIGHTS,1/17/2018 7:56:47 AM,1/17/2018 8:00:32 PM,212,-10383076.1296,5616130.635
