X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-10384519.4784,5608442.5991,0047XX HARRIET AVE,MP2020291607        ,5     ,2020/11/18 00:00:00+00,736,2020/11/18 00:00:00+00,2020/11/18 07:36:00+00,653,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/18 00:00:00+00,12580,-93.28572,44.91686,-10384519.4784,5608442.5991,Tangletown,2020/11/18 00:00:00+00,2022/03/17 09:10:31+00,12961
-10384355.2391,5614101.1927,0027XX GRAND AVE S,MP2020291616        ,5     ,2020/11/18 00:00:00+00,738,2020/11/18 00:00:00+00,2020/11/18 07:38:00+00,730,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/18 00:00:00+00,18386,-93.28425,44.95284,-10384355.2391,5614101.1927,Whittier,2020/11/18 00:00:00+00,2022/03/17 09:10:31+00,12962
-10380962.5598,5613253.5911,0030XX 15TH AVE S,MP2020291621        ,3     ,2020/11/18 00:00:00+00,839,2020/11/18 00:00:00+00,2020/11/18 08:39:00+00,430,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/18 00:00:00+00,22199,-93.25377,44.94745,-10380962.5598,5613253.5911,Powderhorn Park,2020/11/18 00:00:00+00,2022/03/17 09:10:31+00,12964
-10377365.7883,5617142.5492,0025XX DELAWARE ST SE,MP2020291672        ,2     ,2020/11/18 00:00:00+00,1229,2020/11/17 00:00:00+00,2020/11/18 12:29:00+00,1300,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/19 00:00:00+00,22798,-93.22146,44.97217,-10377365.7883,5617142.5492,Prospect Park - East River Road,2020/11/19 00:00:00+00,2022/03/17 09:10:31+00,12967
-10382976.0218,5619407.7438,0001XX 4TH AVE N,MP2020291686        ,1     ,2020/11/18 00:00:00+00,1011,2020/11/17 00:00:00+00,2020/11/18 10:11:00+00,1400,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/18 00:00:00+00,14831,-93.27186,44.98657,-10382976.0218,5619407.7438,North Loop,2020/11/18 00:00:00+00,2022/03/17 09:10:31+00,12968
-10378915.9284,5618527.9491,0004XX 14TH AVE SE,MP2020291701        ,2     ,2020/11/18 00:00:00+00,1127,2020/11/16 00:00:00+00,2020/11/18 11:27:00+00,1830,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/18 00:00:00+00,,-93.23538,44.98098,-10378915.9284,5618527.9491,Marcy Holmes,2020/11/18 00:00:00+00,2022/03/26 07:00:58+00,12969
-10384941.9665,5621657.156,0021XX ALDRICH AVE N,MP2020291727        ,4     ,2020/11/19 00:00:00+00,1259,2020/11/18 00:00:00+00,2020/11/19 12:59:00+00,1052,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/20 00:00:00+00,19499,-93.28952,45.00086,-10384941.9665,5621657.156,Near - North,2020/12/01 00:00:00+00,2022/03/17 09:10:31+00,12971
-10381104.727,5613218.686,0030XX 14TH AVE S,MP2020291733        ,3     ,2020/11/18 00:00:00+00,1115,2020/11/17 00:00:00+00,2020/11/18 11:15:00+00,1600,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/19 00:00:00+00,11963,-93.25505,44.94723,-10381104.727,5613218.686,Powderhorn Park,2020/11/19 00:00:00+00,2022/03/17 09:10:31+00,12972
-10386439.3261,5628579.9811,0049XX KNOX AVE N,MP2020291742        ,4     ,2020/11/18 00:00:00+00,1157,2020/11/16 00:00:00+00,2020/11/18 11:57:00+00,2200,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/19 00:00:00+00,18023,-93.30297,45.04481,-10386439.3261,5628579.9811,Shingle Creek,2020/11/19 00:00:00+00,2022/03/17 09:10:31+00,12974
-10377565.6953,5611020.6702,0038XX MINNEHAHA AVE,MP2020291800        ,3     ,2020/11/18 00:00:00+00,1334,2020/11/17 00:00:00+00,2020/11/18 13:34:00+00,800,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/18 00:00:00+00,12469,-93.22325,44.93325,-10377565.6953,5611020.6702,Howe,2020/11/18 00:00:00+00,2022/03/17 09:10:31+00,12980
